feature,importance
opt_ticket_score,12.204707145690918
miniRules1_monetaryAmount,8.990715980529785
avg_oneway_price,7.81507682800293
legs1_departureAt_period,7.137446403503418
log_price,6.724488735198975
company_freq,6.190579891204834
legs0_departureAt_period,5.866254806518555
