fold,val-top@3,val-ndcg@3
0,0.41595092024539876,0.3825876079158786
1,0.4180935913882537,0.3838663091916311
2,0.4185955714206035,0.38795369181139056
3,0.4203246137542529,0.3843300816922062
4,0.42322494283005185,0.3850140359133604
